HOUSEID,PERSONID,HHSIZE,HH_RACE,HHFAMINC,URBRUR,TRIPPURP,TRPTRANS,TRVLMIN,TRPMILES
20004480,03,3,01,17,01,NHB,01,10,4
20004480,03,3,01,17,01,NHB,01,10,5
20004480,03,3,01,17,01,NHB,01,9,6
20004480,03,3,01,17,01,NHB,01,5,2
20004480,03,3,01,17,01,NHB,01,10,4
20004480,03,3,01,17,01,HBO,01,6,5
20004837,01,3,01,18,01,HBO,01,25,5
20004837,01,3,01,18,01,NHB,01,35,24
20004837,01,3,01,18,01,HBW,01,5,29
20004837,02,3,01,18,01,HBW,01,50,29
20004837,02,3,01,18,01,HBW,01,45,29
20004837,02,3,01,18,01,HBO,01,25,5
20004837,02,3,01,18,01,HBO,01,20,5
20004837,02,3,01,18,01,HBSHOP,01,10,2
20004837,02,3,01,18,01,HBSHOP,01,10,2
20004837,03,3,01,18,01,HBO,01,25,5
20004837,03,3,01,18,01,HBO,01,20,5
20005320,01,2,01,12,01,HBSHOP,02,20,2
20005320,01,2,01,12,01,HBSHOP,02,20,2
20005320,02,2,01,12,01,HBSHOP,97,10,8
20005320,02,2,01,12,01,NHB,97,9,4
20005320,02,2,01,12,01,NHB,01,0,30
20005320,02,2,01,12,01,NHB,01,10,30
20005320,02,2,01,12,01,HBW,01,20,9
20005517,01,2,01,16,01,-9,01,-1,-9
20005599,01,1,02,03,01,HBO,01,10,3
20005599,01,1,02,03,01,HBO,01,10,3
20005807,01,2,01,18,02,HBSHOP,01,0,55
20005807,01,2,01,18,02,NHB,01,15,7
20005807,01,2,01,18,02,NHB,01,30,22
20005807,01,2,01,18,02,NHB,01,30,22
20005807,01,2,01,18,02,NHB,01,5,2
20005807,01,2,01,18,02,NHB,01,10,3
20005807,01,2,01,18,02,HBSHOP,01,50,56
20006233,01,1,01,14,01,HBSHOP,23,8,0.4444444444444444
20006233,01,1,01,14,01,NHB,23,2,0.1111111111111111
20006233,01,1,01,14,01,NHB,23,1,0.5
20006233,01,1,01,14,01,NHB,23,5,0.4444444444444444
20006233,01,1,01,14,01,NHB,23,13,0.4444444444444444
20006233,01,1,01,14,01,HBSHOP,23,7,0.2222222222222222
20006381,01,3,01,06,01,HBW,01,7,2
20006381,01,3,01,06,01,HBW,01,12,2
20006381,03,3,01,06,01,HBW,01,5,1
20006381,03,3,01,06,01,HBW,01,5,1
20006381,03,3,01,06,01,HBO,01,20,14
20006381,03,3,01,06,01,HBO,01,20,12
20006390,01,2,01,18,02,HBO,01,15,3
20006390,01,2,01,18,02,HBO,01,15,3
20006390,01,2,01,18,02,HBW,01,55,45
20006390,01,2,01,18,02,NHB,01,15,2
20006390,01,2,01,18,02,NHB,01,15,2
20006390,01,2,01,18,02,HBW,01,55,45
20006390,02,2,01,18,02,HBSHOP,03,20,10
20006390,02,2,01,18,02,HBSHOP,03,25,10
20007641,01,4,01,17,01,HBO,01,4,2
20007641,01,4,01,17,01,HBO,01,4,2
20007641,01,4,01,17,01,HBSHOP,01,2,0.5555555555555556
20007641,01,4,01,17,01,HBSHOP,01,3,0.5555555555555556
20007641,02,4,01,17,01,HBW,02,17,6
20007641,02,4,01,17,01,NHB,02,5,1
20007641,02,4,01,17,01,NHB,02,5,1
20007641,02,4,01,17,01,HBW,02,20,6
20007641,02,4,01,17,01,HBSHOP,02,4,0.5555555555555556
20007641,02,4,01,17,01,HBSHOP,02,2,0.5555555555555556
20007641,03,4,01,17,01,HBO,11,30,16
20007641,03,4,01,17,01,HBO,11,20,16
20007641,04,4,01,17,01,HBO,11,25,4
20007641,04,4,01,17,01,HBO,01,4,2
20008264,01,5,01,14,02,HBO,02,11,11
20008264,01,5,01,14,02,HBO,02,15,11
20008264,01,5,01,14,02,HBO,02,15,15
20008264,01,5,01,14,02,NHB,02,30,20
20008264,01,5,01,14,02,NHB,02,30,18
20008264,01,5,01,14,02,NHB,02,4,0.4444444444444444
20008264,01,5,01,14,02,NHB,02,20,20
20008264,01,5,01,14,02,HBW,02,15,8
20008264,01,5,01,14,02,HBSOCREC,02,10,12
20008264,01,5,01,14,02,NHB,01,18,12
20008264,01,5,01,14,02,NHB,01,20,18
20008264,01,5,01,14,02,HBSOCREC,02,14,12
20008264,02,5,01,14,02,HBW,04,25,17
20008264,02,5,01,14,02,HBW,04,20,17
20008273,02,4,01,18,01,HBW,04,40,15
20008273,02,4,01,18,01,NHB,04,15,2
20008273,02,4,01,18,01,NHB,04,20,2
20008273,02,4,01,18,01,NHB,04,30,10
20008273,02,4,01,18,01,NHB,04,30,10
20008273,02,4,01,18,01,HBW,04,45,15
20008273,02,4,01,18,01,HBO,23,15,0.2222222222222222
20008273,02,4,01,18,01,HBO,23,14,0.2222222222222222
20008684,01,4,03,18,01,HBO,03,8,1
20008684,01,4,03,18,01,NHB,03,14,4
20008684,01,4,03,18,01,NHB,03,17,4
20008684,01,4,03,18,01,HBO,03,8,1
20008684,01,4,03,18,01,HBO,03,10,2
20008684,01,4,03,18,01,HBO,03,10,2
20008684,02,4,03,18,01,HBO,01,25,2
20008684,02,4,03,18,01,NHB,01,35,24
20008684,02,4,03,18,01,HBW,01,30,25
20008684,03,4,03,18,01,HBO,01,17,2
20008684,03,4,03,18,01,HBO,03,10,2
20008684,04,4,03,18,01,HBO,01,25,2
20008684,04,4,03,18,01,HBO,03,10,2
20008723,01,2,01,08,01,HBW,02,5,1
20008723,01,2,01,08,01,HBW,02,5,1
20008723,01,2,01,08,01,HBSHOP,02,40,20
20008723,01,2,01,08,01,NHB,02,5,0.5555555555555556
20008723,01,2,01,08,01,HBSHOP,02,40,20
20008871,01,2,01,07,01,HBSHOP,02,30,15
20008871,01,2,01,07,01,NHB,02,20,6
20008871,01,2,01,07,01,HBSHOP,02,30,2
20008871,02,2,01,07,01,HBSHOP,02,30,15
20008871,02,2,01,07,01,NHB,02,20,6
20008871,02,2,01,07,01,HBSHOP,02,30,5
20009092,01,1,01,03,02,HBSHOP,03,10,3
20009092,01,1,01,03,02,HBSHOP,03,9,3
20009092,01,1,01,03,02,HBSHOP,03,15,8
20009092,01,1,01,03,02,HBSHOP,03,15,8
20009092,01,1,01,03,02,HBSOCREC,03,5,0.7777777777777778
20009092,01,1,01,03,02,HBSOCREC,03,5,0.7777777777777778
20009216,01,1,01,17,01,HBSOCREC,23,20,0.5555555555555556
20009216,01,1,01,17,01,HBSOCREC,23,24,0.5555555555555556
20010016,01,4,02,17,01,HBO,01,40,15
20010016,01,4,02,17,01,HBO,01,30,16
20010016,01,4,02,17,01,HBSHOP,01,5,0.2222222222222222
20010016,01,4,02,17,01,HBSHOP,01,5,0.2222222222222222
20010016,01,4,02,17,01,HBSHOP,01,5,2
20010016,01,4,02,17,01,HBSHOP,01,5,0.2222222222222222
20010016,03,4,02,17,01,HBO,01,40,16
20010016,03,4,02,17,01,HBO,01,30,16
20010016,04,4,02,17,01,HBO,01,40,15
20010016,04,4,02,17,01,HBO,01,30,16
20010016,04,4,02,17,01,HBSOCREC,23,5,0.1111111111111111
20010016,04,4,02,17,01,HBSOCREC,23,5,0.1111111111111111
20010463,01,4,01,18,02,HBO,03,20,10
20010463,01,4,01,18,02,HBO,03,20,10
20010463,01,4,01,18,02,HBSHOP,03,20,10
20010463,01,4,01,18,02,NHB,03,0,19
20010463,01,4,01,18,02,NHB,03,27,20
20010463,01,4,01,18,02,HBO,03,23,10
20010463,01,4,01,18,02,HBSHOP,03,15,5
20010463,01,4,01,18,02,HBSHOP,03,15,5
20010463,01,4,01,18,02,HBW,03,10,4
20010463,01,4,01,18,02,HBW,03,11,4
20010463,01,4,01,18,02,HBSOCREC,01,1,0.2222222222222222
20010463,01,4,01,18,02,HBSOCREC,23,1,0.5
20010463,02,4,01,18,02,HBO,03,20,10
20010463,02,4,01,18,02,HBO,03,20,10
20010463,02,4,01,18,02,HBSHOP,03,40,20
20010463,02,4,01,18,02,NHB,01,20,11
20010463,02,4,01,18,02,NHB,01,5,3
20010463,02,4,01,18,02,HBSHOP,01,25,15
20010463,02,4,01,18,02,HBO,01,20,10
20010463,02,4,01,18,02,NHB,01,2,1
20010463,02,4,01,18,02,NHB,01,2,1
20010463,02,4,01,18,02,NHB,01,2,1
20010463,02,4,01,18,02,NHB,01,20,7
20010463,02,4,01,18,02,NHB,01,20,7
20010463,02,4,01,18,02,NHB,01,20,4
20010463,02,4,01,18,02,NHB,01,15,3
20010463,02,4,01,18,02,HBO,01,25,10
20010463,02,4,01,18,02,HBO,01,1,0.2222222222222222
20010463,02,4,01,18,02,HBO,01,1,0.2222222222222222
20010463,03,4,01,18,02,HBO,03,20,10
20010463,03,4,01,18,02,HBO,03,20,10
20010463,03,4,01,18,02,HBSHOP,03,10,5
20010463,03,4,01,18,02,HBSHOP,03,10,5
20010463,03,4,01,18,02,HBO,01,20,10
20010463,03,4,01,18,02,NHB,01,2,1
20010463,03,4,01,18,02,NHB,01,20,7
20010463,03,4,01,18,02,HBSOCREC,01,25,10
20010463,03,4,01,18,02,HBO,23,7,0.5555555555555556
20010463,03,4,01,18,02,HBO,23,8,0.5555555555555556
20010463,04,4,01,18,02,HBO,03,20,10
20010463,04,4,01,18,02,HBO,03,20,10
20010463,04,4,01,18,02,HBSHOP,03,10,5
20010463,04,4,01,18,02,HBSHOP,03,10,5
20010687,01,1,01,06,02,HBO,01,6,1
20010687,01,1,01,06,02,NHB,01,5,0.4444444444444444
20010687,01,1,01,06,02,NHB,01,11,2.7777777777777777
20010687,01,1,01,06,02,NHB,01,19,3.3333333333333335
20010687,01,1,01,06,02,NHB,01,9,1.6666666666666667
20010687,01,1,01,06,02,HBSOCREC,01,8,1
20010735,01,5,01,18,02,HBW,03,0,75
20010735,01,5,01,18,02,NHB,03,5,2
20010735,01,5,01,18,02,NHB,03,30,70
20010735,01,5,01,18,02,NHB,03,15,5
20010735,01,5,01,18,02,HBSHOP,03,13,5
20010735,01,5,01,18,02,HBSHOP,03,5,2
20010735,01,5,01,18,02,NHB,03,2,0.5
20010735,01,5,01,18,02,HBSHOP,03,5,2
20010735,02,5,01,18,02,HBO,11,15,2
20010735,02,5,01,18,02,HBO,11,15,2
20010735,05,5,01,18,02,HBSHOP,02,30,15
20010735,05,5,01,18,02,HBSHOP,02,30,15
